wavenumber,wavenumber_adjusted,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty
613.072,614.951145840736,3.36133,2.264,2.23333,2.148,1.92,2.03867,2.05733,1.936,1.99467,2.084,2.168,3.53867,4.96533,15.2933,14.6387,13.5533,13.7427,12.7493,13.0827,13.7867
613.64,615.519145840736,3.204,2.232,2.28533,2.09467,1.99067,2.05333,2.03867,2.05733,1.984,2.06933,2.16,3.584,4.95333,15.508,15.0173,13.8973,13.9107,12.7973,13.5333,14.148
614.208,616.087145840736,3.32133,2.304,2.32667,2.02133,1.98267,2.13467,1.98,2.06533,1.988,1.996,2.14267,3.432,5.06133,15.7107,15.1907,14.1227,14.036,13.3427,13.5453,14.3973
614.776,616.655145840736,3.40133,2.22133,2.27467,2.17067,2.104,2.11467,1.99733,2.03467,1.96133,2.05067,2.092,3.48533,4.85333,15.8347,15.3547,14.3333,14.2707,13.464,13.7933,14.588
615.345,617.224145840736,3.39333,2.30933,2.26133,2.24933,2.04,2.04933,2.00133,2.016,2.04533,2.08933,2.108,3.50267,4.83067,16.1333,15.384,14.3107,14.5973,13.628,14.052,14.712
615.913,617.792145840736,3.43733,2.308,2.256,2.132,2.05467,2.07333,2.04133,1.98133,2.03467,1.988,2.19867,3.37333,4.98267,16.184,15.8253,14.46,15.0707,13.796,14.2387,14.7493
616.481,618.360145840736,3.46133,2.34,2.30267,2.16933,2.06,2.05467,2.04,2.12667,2.00267,2.04133,2.14133,3.33333,4.89467,16.316,15.9093,14.9893,15.1653,13.8613,14.304,15.0507
617.049,618.928145840736,3.40267,2.30267,2.20133,2.16667,2.07867,2.02667,2.01467,2.04933,2.07867,2.02133,2.17733,3.484,4.98133,16.32,15.9973,15.2133,15.0427,14.2333,14.44,15.1453
617.617,619.496145840736,3.42267,2.39067,2.332,2.16533,2.10133,2.004,2.04933,2.128,2.008,2.03733,2.232,3.48533,4.976,16.392,15.9613,14.8947,14.824,13.9013,14.4373,15.1253
618.185,620.064145840736,3.472,2.40267,2.29067,2.152,2.12533,2.072,2.096,2.01867,2.09733,2.004,2.11333,3.428,4.95467,16.5107,16.3747,15.236,15.0507,14.2347,14.58,15.0427
